guid,full_name,parent_organization,category,description,eligibility_requirements,min_age,max_age,services_provided,keywords,website,program_email,full_address,intake_instructions,latitude,longitude,text_message_instructions,phone_label_1,phone_1,phone_1_ext,phone_label_2,phone_2,phone_2_ext,crisis_line_label,crisis_line_number,financial_information,languages_offered,building_description,ADA_accessibility_notes,transit_instructions,blog_link,twitter_link,facebook_link,youtube_link,instagram_link,covid_message,city,cost_keywords,agency_verified,date_agency_verified,image_url,office_entrance_image_url
43,Comprehensive Health Solutions,,Psychiatric Care: Medication Management,"Comprehensive Health Solutions, LLC. 182 likes. Crystal Bardgett DNP, PMHNP-BC Outpatient medication management that encompasses a holistic approach",,11,20,,"In-Person,Medicaid,Medicare",https://www.facebook.com/p/Comprehensive-Health-Solutions-LLC-61552160726049/,,"1743 East Yellowstone Highway, Casper, WY 82601",,42.8536300,-106.3023934,,,307-262-8600,,,,,,,,,,,,,,https://www.facebook.com/p/Comprehensive-Health-Solutions-LLC-61552160726049/,,,,Casper,,,,,
45,Peaceful Minds Wellness Center,,Psychiatric Care: Medication Management,"At Mental Health Centers Directory, we're committed to helping individuals gain access to the best mental health centers near them, spanning across all 50 states. Our mission is to aid individuals in finding the right medical treatment for their unique mental health needs. We are more than just a directory; we are a source of information, resources, and support to guide you on your journey to mental wellness.",,11,20,,"In-Person,Medicaid,Medicare",https://www.mentalhealthcenters.org/mental-health-centers/peaceful-minds-wellness-center/,info@mentalhealthcenters.org,"1300 East A Street Suite 101, Casper, WY 82601",,42.8515400,-106.3073200,,,307-224-2484,,,,,,,Free and Confidential,,,,,https://www.mentalhealthcenters.org/mental-health-blog/,,https://www.facebook.com/mentalhealthcenters/,,https://www.instagram.com/mentalhealthcenters,,Casper,,,,,
120,Dress for Success,,Basic Needs: Clothing,No cost career and professional development and free professional clothing to help women build economic independence. This program is for unemployed and underemployed women only.,,,,,Free,https://casper.dressforsuccess.org/,,"333 East H Street, Casper, WY 82601",,42.8440,-106.3215,,,307-333-3892,,,,,,,,,Seton House,,,,,,,,,Casper,,,,,
208,WBI Residential Trauma Care,,Violence & Justice: General,Pathways residential trauma-informed care for children and adolescents.,,,,,Trauma,https://wbihelp.com/treatment-services/child-adolescent-treatment/residential-trauma-informed-care/,,"2521 East 15th St, Casper, WY 82609",,42.8346236,-106.2942131,,,307-237-7444,,,,,,,,,,,,,,,,,,Casper,,,,,
133,Health Department (LGBTQ+),,LGBTQ+: General,We&#8217;re excited to share that our Community Services Directory is now live on our website! You can now easily explore local resources and services by visiting the &#8220;Community Services&#8221; tab at the top of our homepage.,,,,,LGBTQ-Friendly,https://casperpublichealth.org/,,"475 S Spruce, Casper, WY 82601",Appointment Today!,42.8465,-106.3205,,,307-235-9340,,,,,,,Medicaid,,,,,,,https://www.facebook.com/natrona.health,,,,Casper,,,,,
203,Unaccompanied Student Initiative,,Basic Needs: Housing,"Provides safe, stable housing and the development of support systems for high school students, ages 14 to 20, experiencing homelessness.",,,,,Homeless Services,https://www.usinitiative.org/,cheyenne_coord@usinitiative.org,"1514 East 12th Street Building F Suite 106, Casper, WY 82609",,42.8392,-106.3025,,,307-220-6454,,,,,,,,,On the Lifesteps Campus,,,,,http://www.facebook.com/2008/fbml,,https://www.instagram.com/buildingafoundationusi/,,Casper,,,,,
12,Parkridge Behavioral Health,Casper Clinic,Counseling: Offices,"Multiple clinicians provide child, adolescent, adult, individual, family, couples, and group counseling. Specializes in trauma, anxiety, depression, chronic pain, parenting, addictions, bi-polar, LGBTQ+, women's health, eating disorders. Trained clinicians can provide EMDR, DBT, CBT, etc. Medicaid accepted.",,11,20,,"In-Person,Medicaid,Trauma,EMDR,LGBTQ-Friendly,Substance Use",https://www.prbhwy.com/,referral@prbhwy.com,"940 East 3rd Street Suite 104, Casper, WY 82601","Appointment Request
 
 
 
 
 
 
 
 The future depends on what you do in the present 
 
 
 
 
APPOINTMENT REQUEST
 
 
 
 
 
 
 
 Whe",42.8477864,-106.3128254,,,307-462-4876,,,,,,,free,all through adulthood,,,transitions,,,https://www.facebook.com/profile.php?id=61553247727430,,,,Casper,,,,,
62,4-H Program,,Belonging & Connection: Leadership,"The 4-H program is an informal, practical, learn-by-doing program for youth. The purpose of 4-H is to assist youth in acquiring knowledge, developing skills, and forming attitudes to enable youth to become self-directing, productive members of society.",,,,,,https://www.natronacounty-wy.gov/177/4-H-Program,,"2011 Fairgrounds Road, Casper, WY 82601",,42.8425,-106.3580,,,307-235-9400,,,,,,,insurance,,"Natrona County Fairgrounds, ARLC Building",,,https://wyoextension.org/natronacounty/newsletters-2/,,https://www.facebook.com/people/Natrona-County-WY/100064678448170/,,,,Casper,,,,,
123,Food Box,,Basic Needs: Food,Open Monday - Friday 8:00am - 3:00pm.,,,,,,,,"318 East 6th Street, Casper, WY 82601",,42.8475,-106.3227,,,307-237-9087,,,,,,,,,Our Saviours Lutheran Church,,,,,,,,,Casper,,,,,
98,CHCCW (Healthcare),,Healthcare: General,"Behavioral health, dental, family medicine, pediatrics, pharmacy, quick care. Offers sliding fee scale.",,,,,Sliding Scale,https://www.chccw.org/,,"5000 Blackmore Rd, Casper, WY 82609",,42.8420972,-106.2578872,,,307-233-6000,,,,,,,,,,,,,,,,,,Casper,,,,,
99,CHCCW (Resiliency),,Resiliency Building: General,"Behavioral health, dental, family medicine, pediatrics, pharmacy, quick care. Offers sliding fee scale.",,,,,Sliding Scale,https://www.chccw.org/,,"5000 Blackmore Road, Casper, WY 82609",,42.8420972,-106.2578872,,,307-233-6000,,,,,,,,,,,,,,,,,,Casper,,,,,
101,City Council LGBTQ+ Advisory Committee,,LGBTQ+: General,The committees purpose is to advise and educate Casper City Council about LGBTQ issues in our community to foster a more accepting and equitable community.,,,,,LGBTQ-Friendly,https://www.casperwy.gov/residents/community_and_culture/advisory_boards_and_committees/l_g_b_t_q_advisory_committee,,"Casper, WY",,42.8666,-106.3131,,,,,,,,,,,,,,,,,,,,,Casper,,,,,
104,Common Sense Media,,Technology: Digital Safety,Common Sense Media is the leading source of entertainment and technology recommendations for families. Parents trust our expert reviews and objective advice.,,,,,,https://www.commonsensemedia.org/,,"Casper, WY",,42.8666,-106.3131,,,,,,,,,,free,,,,,,https://www.twitter.com/commonsense,https://www.facebook.com/commonsensemedia,https://www.youtube.com/playlist?list=PLxc-QYpD02ma4DSSodguGUVMLcwCj9BtO,https://www.instagram.com/commonsenseorg,,Casper,,,,,
70,Blue Heart Collaborative,,Faith Based: Youth Groups,"The Blue Heart Collaborative is an organization dedicated to uniting all youth organizations, recreational venues, event spaces, and youth ministries in Casper, Wyoming. By fostering a collaborative effort, we aim to pool resources, funding, and manpower to drive meaningful change within the community. While many organizations in Casper care deeply about youth, their independent efforts have resulted in gaps where the youth fall through the cr...",,,,,Faith-Based,https://bhcwy.com/home,dc@bhcwy.com,"1611 Casper Mountain Rd, Casper, WY 82601",,42.8270,-106.3300,,,307-215-5804,,,,,,,,,YMCA of Natrona County,,,,,,,,,Casper,,,,,
74,Boys & Girls Club Free Dinner,,Basic Needs: Food,"&#8220;When obstacles are thrown at me, I can either allow those circumstances to hit me full force or dodge them and persevere. My Club mentors have taught me to turn those obstacles into strengths for a brighter future.&#8221;",,,,,Free,https://www.bgccw.org/,pblakeley@bgccw.org,"1701 E K St, Casper, WY 82601",,42.8435,-106.3026,,,307-234-2456,,,,,,,,,,accessible to any child who would like to attend,,,,https://www.facebook.com/bgccw,,https://www.instagram.com/bgccw?igsh=aDdyZnFjbm13bTlm%20clubs-of-central-wyoming/,,Casper,,,,,
59,211 Wyoming,,Emergency Services: General,"Choose the method that best works for you. When you call, a friendly voice will be ready to answer.",,,,,Crisis,https://wyoming211.org,,"Casper, WY",,42.8666,-106.3131,,,211,,,,,,,,,,,,https://wyoming211.org/blog/,,https://www.facebook.com/WY211,,https://www.instagram.com/wyoming211/?hl=en,,Casper,,,,,
58,12-24 Club (Family Support),,Family Life: General,"Offers several support groups for youth and families. Al-Anon, grief support group for suicide survivors, co-dependents/alcoholics/narcotics/overeaters anonymous.",,,,,,https://www.1224club.org/,,"500 S Wolcott St Suite 200, Casper, WY 82601",,42.8455380,-106.3238660,,,307-237-8035,,,,,,,free,programs,,,,,,https://www.facebook.com/1224Club,,,,Casper,,,,,
60,211 Wyoming (Healthcare),,Healthcare: General,"Choose the method that best works for you. When you call, a friendly voice will be ready to answer.",,,,,,https://wyoming211.org,,"Casper, WY",,42.8666,-106.3131,,,211,,,,,,,,,,,,https://wyoming211.org/blog/,,https://www.facebook.com/WY211,,https://www.instagram.com/wyoming211/?hl=en,,Casper,,,,,
64,Advancing Abilities,,Disability: Intellectual,Provides day habilitation services to developmentally disabled individuals to acquire and maintain life skills. Also provides case management and care coordination.,,,,,,,,"400 East 15th Street, Casper, WY 82601",,42.8375,-106.3176,,,307-333-5071,,,,,,,,,,,,,,,,,,Casper,,,,,
65,American Red Cross of Wyoming,,Emergency Services: General,Providing food and shelter in emergencies.,,,,,,https://www.redcross.org/local/wyoming/about-us.html,,"104 S Wolcott St Ste 832, Casper, WY 82601",,42.8495,-106.3245,,,307-222-8272,,,307-237-8436,,,,,,,,,,,,,,,Casper,,,,,
67,ASSIST Door-to-Door Service,,Transportation: General,Provides transit services to people with disabilities who cannot use the fixed route bus by picking the patron up at their home. Must make a reservation.,,,,,,,,"1715 East 4th Street, Casper, WY 82601",,42.8483,-106.2995,,,307-235-8273,,,,,,,,,Casper Area Transit,,,,,,,,,Casper,,,,,
68,Banner Wyoming Medical Center ER,,Emergency Services: General,Provides emergency medical treatment.,,,,,,https://www.bannerhealth.com/locations/casper/banner-wyoming-medical-center-er,,"1233 East 2nd Street, Casper, WY 82601",,42.8490,-106.3070,,,307-577-7201,,,,,,,,,,,,,,,,,,Casper,,,,,
69,Big Brothers Big Sisters of Wyoming,,Belonging & Connection: General,"When you donate online to Big Brothers Big Sisters, you join our cause and directly support children in your community. No matter how little or big the amount, donating can start making a difference in the lives of young people around you.",,,,,,https://bbbswyo.org/,,"400 East 1st St Suite 310, Casper, WY 82601",,42.8504,-106.3168,,,307-265-2227,,,,,,,,,Pathfinder Federal Credit Union Building,,,,,https://www.facebook.com/laramiebbbs/,,https://www.instagram.com/greaterwyomingbbbs/?hl=en,,Casper,,,,,
71,BOCES (Board of Cooperative Educational Services),,Education & Workforce: General,Providing opportunities for NCSD high school students to jumpstart college by offering college classes while still enrolled in high school.,,,,,,,,"970 Glenn Rd, Casper, WY 82601",,42.8613,-106.2904,,,307-253-5208,,,,,,,,,NCSD Administration Bldg,,,,,,,,,Casper,,,,,
72,Boy Scouts - Adventure West Council,,Belonging & Connection: Recreational,"Boy Scouts participate in a variety of activities including hiking, camping, volunteering, and earning merit badges.",,,,,,https://www.scouting.org/,,"3939 Casper Mountain Road, Casper, WY 82601",,42.8080,-106.3311,,,307-234-7329,,,,,,,,,,,,,,,,,,Casper,,,,,
73,Boys & Girls Club Career Program,,Education & Workforce: General,"&#8220;When obstacles are thrown at me, I can either allow those circumstances to hit me full force or dodge them and persevere. My Club mentors have taught me to turn those obstacles into strengths for a brighter future.&#8221;",,,,,,https://www.bgccw.org/,pblakeley@bgccw.org,"1701 E K St, Casper, WY 82601",,42.8435,-106.3026,,,307-234-2456,,,,,,,,,,accessible to any child who would like to attend,,,,https://www.facebook.com/bgccw,,https://www.instagram.com/bgccw?igsh=aDdyZnFjbm13bTlm%20clubs-of-central-wyoming/,,Casper,,,,,
75,Boys & Girls Club of Central Wyoming,,Belonging & Connection: General,"&#8220;When obstacles are thrown at me, I can either allow those circumstances to hit me full force or dodge them and persevere. My Club mentors have taught me to turn those obstacles into strengths for a brighter future.&#8221;",,,,,,https://www.bgccw.org/,pblakeley@bgccw.org,"1701 E K St, Casper, WY 82601",,42.8435,-106.3026,,,307-234-2456,,,,,,,,,Boys & Girls Clubs of Central Wyoming,accessible to any child who would like to attend,,,,https://www.facebook.com/bgccw,,https://www.instagram.com/bgccw?igsh=aDdyZnFjbm13bTlm%20clubs-of-central-wyoming/,,Casper,,,,,
76,Brain Injury Advocates,,Disability: Equipment,"Brain Injury Advocates of Wyoming (BIAW) provides a variety of services, including; case management, payee services, a durable medical equipment loan closet, and monthly support group.",,,,,,https://www.wybia.org/,,"350 Big Horn Road, Casper, WY 82601","Appointment Only                                                                                         350 Big Horn Road,&nbsp;",42.8590,-106.3380,,,307-473-1767,,,,,,,Medicaid . free,,,"wheelchairs, crutches, and mobility aids",,https://www.wybia.org/blog-feed.xml,,https://www.facebook.com/BIAWyoming,,,,Casper,,,,,
77,Brain Injury Advocates (Healthcare),,Healthcare: General,"Brain Injury Advocates of Wyoming (BIAW) provides a variety of services, including; case management, payee services, a durable medical equipment loan closet, and monthly support group.",,,,,,https://www.wybia.org/,,"350 Big Horn Road, Casper, WY 82601","Appointment Only                                                                                         350 Big Horn Road,&nbsp;",42.8590,-106.3380,,,307-473-1767,,,,,,,Medicaid . free,,,"wheelchairs, crutches, and mobility aids",,https://www.wybia.org/blog-feed.xml,,https://www.facebook.com/BIAWyoming,,,,Casper,,,,,
78,Bridges of Wyoming,,Disability: Intellectual,"Provides services to allow individuals with disabilities to live, learn, and work where they choose. Services include health management, independent living, transportation, adult day services, and supported living.",,,,,,,,"4050 S Poplar Street, Casper, WY 82601",,42.8200,-106.3300,,,307-337-4001,,,,,,,,,Sunrise Shopping Center,,,,,,,,,Casper,,,,,
63,988 Suicide & Crisis Lifeline,,Emergency Services: General,"At the 988 Suicide & Crisis Lifeline, we understand that life&rsquo;s challenges can sometimes be difficult. Whether you&rsquo;re facing mental health struggles&#8230;",,,,,Crisis,https://988lifeline.org,,"Casper, WY",,42.8666,-106.3131,,,988,,,,,,,free and confidential,24/7/365,,,,,https://twitter.com/988Lifeline,https://www.facebook.com/988lifeline/,https://www.youtube.com/988Lifeline,https://www.instagram.com/988lifeline/,,Casper,,,,,
61,307 Dance Academy,,Belonging & Connection: Arts,"Offers dance classes for ages 2 and up in Ballet, Pre-pointe, Pointe, Tap, Jazz, Musical Theatre, Contemporary, Tumbling, and cheer. Scholarships available.",,,,,Scholarship Available,https://www.307danceacademy.com/page/home,,"1536 S Oakcrest Ave, Casper, WY 82601",,42.8363,-106.3243,,,307-337-7777,,,,,,,,,,,,,,https://www.facebook.com/307DA,,https://www.instagram.com/307DA/,,Casper,,,,,
66,ART 321,,Belonging & Connection: Arts,"Provides weekly art classes and groups that welcome creatives from all backgrounds, ages, and expertise. Offers classes in clay, mixed media, portraits, acrylics, watercolors, and wheel throwing. Scholarships available.",,,,,Scholarship Available,https://www.art321.org/,admin@art321.org,"321 W Midwest, Casper, WY 82601",,42.8508,-106.3282,,,307-265-2655,,,,,,,,,Art321,"accessible, and our community connected",,,,http://www.facebook.com/2008/fbml,https://www.youtube.com/channel/UC-vAcXH9wK6JDxgOsGDB9vQ,https://www.instagram.com/art321wy,,Midwest,,,,,
80,CASA of Natrona County,,Violence & Justice: General,Conducts forensic interviews for children who have witnessed or are victims of a crime. Also provides victims advocate services and counseling.,,,,,,https://www.casaofnatronacounty.net/,info@casaofnatronacounty.net,"140 N Center St, Casper, WY 82601",,42.8508,-106.3256,,,307-237-0889,,,,,,,,under,,,,,,https://www.facebook.com/CasaOfNatronaCounty,https://www.youtube.com/watch?v=1sSfrrpfPxY&amp;t=10s,https://www.instagram.com/casaofnatronacounty/,,Casper,,,,,
81,Casper Boxing Club,,Belonging & Connection: Recreational,"Promotes sportsmanship, responsibility, integrity, loyalty and individuality through education, dedication, desire, and a commitment to maximize excellence.",,,,,,https://casperboxingclub.com/,,"910 Barbara St, Casper, WY 82601",,42.8470,-106.3370,,,307-265-2471,,,,,,,,,Casper Boxing Club,,,,,http://www.facebook.com/profile.php?id=61550962433104,https://www.youtube.com/embed/yS2K8zjQCLM?&rel=0&showinfo=0&controls=0,,,Casper,,,,,
82,Casper Boxing Club (Violence Prevention),,Violence & Justice: General,"Provides boxing coaching, training, and gym and fitness programs as a constructive outlet.",,,,,,https://casperboxingclub.com/,,"910 Barbara St, Casper, WY 82601",,42.8470,-106.3370,,,307-265-2471,,,,,,,,,Stewart & Stevenson,,,,,http://www.facebook.com/profile.php?id=61550962433104,https://www.youtube.com/embed/yS2K8zjQCLM?&rel=0&showinfo=0&controls=0,,,Casper,,,,,
84,Casper Classical Academy Athletics,,Belonging & Connection: School Clubs,Athletics at CCA are an extension of the classroom. Our athletic programs are committed to good sportsmanship on and off the playing surface.,,,,,,https://casperclassical.org/athletics/,,"900 S Beverly Street, Casper, WY 82601",,42.8395,-106.3218,,,307-253-2300,,,,,,,,,,,,,,https://www.facebook.com/Casper-Classical-Academy-1661090837438225,,,,Casper,,,,,
148,Legal Aid (Justice),,Violence & Justice: General,"Legal Aid of Wyoming, Inc., is required to notify that our funds may not be used in any manner inconsistent with the Legal Services Corporation Act or Section 504 of Public Law 104-134. The LSC Act and regulations may be reviewed at: www.lsc.gov.",,,,,,https://www.lawyoming.org/,joseph@buildupllc.net,"159 N Wolcott St #100, Casper, WY 82601",,42.8510,-106.3248,,,307-232-9827,,,,,,,free,,The Ohio Oil Building,,,,,https://www.facebook.com/lawyoming/,,,,Casper,,,,,
85,Casper College,,Education & Workforce: General,"Located in Wyoming, Casper College is one of the largest and most comprehensive community colleges in the region offering 140+ degrees.",,,,,,https://www.caspercollege.edu/,,"125 College Dr, Casper, WY 82601",Get Started?                     Apply Now                Majors &amp; Programs                Class Schedules                Cost,42.8550,-106.3460,,,307-268-2424,,,,,,,free,"Communication  Law,Public Safety  Manufacturing,Engineering  Science,athletic dreams",Gateway Building,,,,https://twitter.com/caspercollege,https://www.facebook.com/CasperCollege/,https://www.youtube.com/user/ccnewmedia,https://www.instagram.com/caspercollege/,,Casper,,,,,
86,Casper College Accommodative Services,,Disability: General,Casper College follows the American with Disabilities Act and Section 504 of the Rehabilitation Act in providing services and accommodations to students with disabilities.,,,,,,https://www.caspercollege.edu/about/accommodative/,,"125 College Dr, Casper, WY 82601","how to access them, it is the student&#8217;s responsibility to self-identify and request accommodations",42.8550,-106.3460,,,307-268-2557,,,,,,,,when needed,,"adaptive keyboards, zoom text, voice recognition programs, digital recorders, spell",,,https://twitter.com/caspercollege,https://www.facebook.com/CasperCollege/,https://www.youtube.com/watch?v=AwDvgFrbY5w,https://www.instagram.com/caspercollege/,,Casper,,,,,
88,Casper Family Connections (Family),,Family Life: General,"Supervised visitation, safe exchange, co-parenting classes, therapy, parenting support group.",,,,,,https://www.casperfamilyconnections.org/,karlea.casperfamilyconnections@gmail.com,"500 S Wolcott Street Suite 102, Casper, WY 82601",,42.8455380,-106.3238660,,,307-233-2200,,,,,,,,,,,,,,,,,,Casper,,,,,
90,Casper-Natrona County Health Department,,Healthcare: General,We&#8217;re excited to share that our Community Services Directory is now live on our website! You can now easily explore local resources and services by visiting the &#8220;Community Services&#8221; tab at the top of our homepage.,,,,,,https://casperpublichealth.org/,,"475 S Spruce St, Casper, WY 82601",Appointment Today!,42.8465,-106.3205,,,307-235-9340,,,,,,,Medicaid,,,,,,,https://www.facebook.com/natrona.health,,,,Casper,,,,,
91,Casper Police Department,,Emergency Services: General,Provides emergency assistance.,,,,,,https://casperpolice.org/,webpageupdate_subscribers@revize.com,"201 N David, Casper, WY 82601","Walking Tours of Casper  
					  FAQs  
					  Places to Stay in Casper!  
				 
			 
			  Hogadon Basin Ski Area",42.8510,-106.3250,,,307-235-8278,,,,,,911,Insurance,"English,Spanish",Hall of Justice,"ada  
										  Khmer  
										  Korean  
										  Lao  
										  La","Transit  
					  Casper Parking Plan  
					  Request for Proposals  
					  Staff D",,https://www.twitter.com/intent/tweet?url=http://www.casperwy.gov/community/police/index.php,https://www.facebook.com/sharer/sharer.php?u=http://www.casperwy.gov/community/police/index.php,https://www.youtube.com/channel/UCNqWUdQ2GpkLuJbl0zqhaRA,https://www.instagram.com/casperpolicedepartment/,,Casper,,,,,
94,Centennial Middle School Activities,,Belonging & Connection: School Clubs,Activities and athletics available to students at Centennial Middle School.,,,,,,,,"1421 S Waterford, Casper, WY 82609",,42.8333,-106.2900,,,307-253-2900,,,,,,,,,,,,,,,,,,Casper,,,,,
96,Champion Boxing,,Belonging & Connection: Recreational,"A place for kids to learn the art of boxing and a way to channel their energy into something that helps them build discipline. Operational M, W, F 6:00-8:00.",,,,,,,,"353 W A Street, Casper, WY 82601",,42.8505,-106.3282,,,307-267-9440,,,,,,,,,The Link,,,,,,,,,Casper,,,,,
97,CHCCW (Family Support),,Family Life: General,"NA, AA, AL ANON support groups.",,,,,,http://chccw.org/,,"5000 Blackmore Road, Casper, WY 82609",,42.8420972,-106.2578872,,,307-233-6000,,,,,,,,,Community Health Center of Central Wyoming,,,,,,,,,Casper,,,,,
100,Childrens Advocacy Project,,Emergency Services: General,"Provides services to children who have witnessed a crime including forensic interviews, victims advocate, and counseling.",,,,,,https://www.childrensadvocacyproject.org/,stacy@childrensadvocacyproject.org,"350 N Ash Street, Casper, WY 82601",,42.8535,-106.3220,,,307-232-0159,,,,,,,,,,,,,,https://www.facebook.com/Childrens-Advocacy-Project-1768882950062604/,https://www.youtube.com/channel/UCcLCdWPg3Bva2tBAnULVSDw,https://www.instagram.com/childrensadvocacyproject/,,Casper,,,,,
79,Calvary Baptist Church Teen Youth Group,,Faith Based: Youth Groups,"Teen youth group active with Sunday school lessons, bible study, fun activities, mission trips, and visits to camp and other youth events.",,,,,Faith-Based,https://calvarycasper.com/teen-youth-group.html,pastor@calvarycasper.com,"1800 S Conwell St, Casper, WY 82601",,42.8310,-106.3120,,,1773353235,,,,,,,,,Calvary Baptist Church,,,,,https://www.facebook.com/calvarybaptistchurchcasper/,,,,Casper,,,,,
103,College Heights Youth Group,,Faith Based: Youth Groups,For youth 7th-12th grade. Meets weekly and offers Summit Camp in the summer.,,,,,Faith-Based,https://www.collegeheightscasper.org/youth,rodolphbrothers@gmail.com,"1927 S Walnut St, Casper, WY 82601",,42.8320,-106.3370,,,307-224-4104,,,,,,,,,College Heights Baptist Church,,,,,https://www.facebook.com/groups/48456711685,https://www.youtube.com/@CollegeHeightsBaptistChurch,https://www.instagram.com/collegeheightscasper/,,Casper,,,,,
102,City Park Church Food Distribution,,Basic Needs: Food,Open every Tuesday from 5:00pm - 6:00pm.,,,,,Faith-Based,,,"804 S Wolcott, Casper, WY 82601",,42.8413,-106.3242,,,307-234-6946,,,,,,,,,City Park Church,,,,,,,,,Casper,,,,,
89,Casper Housing Authority,,Basic Needs: Housing,"Offers housing assistance, rental properties, and supportive services to low-income families. Urban Thistle Farm and Market (free community garden).",,,,,Free,https://www.chaoffice.org/,info@chaoffice.org,"140 East K Street, Casper, WY 82601",,42.8436,-106.3234,,,307-266-1388,,,,,,,,,,,,https://www.chaoffice.org/blog-feed.xml,,https://www.facebook.com/CasperHousingAuthority,,,,Casper,,,,,
95,CHA Cares: Free Food Store,,Basic Needs: Food,Free food store for community members in need.,,,,,Free,,,"140 E K Street, Casper, WY 82601",,42.8436,-106.3234,,,307-266-1388,,,,,,,,,,,,,,,,,,Casper,,,,,
87,Casper College STAR Program,,Basic Needs: Housing,"We’re here to answer all the questions you are afraid to ask! We know learning about how college works (and surviving it) is tough and sometimes you need a little extra guidance, support or a helping hand. That is where we come in! We can help with anything from finding the location of your class to helping you develop a plan to get off academic probation. Simply put, we are here to help you with anything you need. Come see us, we can’t wait t...",,,,,Homeless Services,https://www.caspercollege.edu/student-success/,,"125 College Dr, Casper, WY 82601",,42.8550,-106.3460,,,307-268-2089,,,,,,,,accommodations,,,,,https://twitter.com/caspercollege,https://www.facebook.com/CasperCollege/,https://www.youtube.com/user/ccnewmedia,https://www.instagram.com/caspercollege/,,Casper,,,,,
105,Community Action Partnership,,Basic Needs: Housing,"Healthcare for the homeless, emergency services, case management, vocational support, budgeting, social security outreach, housing readiness workshop.",,,,,Homeless Services,https://capnc.org/services/,,"606 S David Street, Casper, WY 82601",,42.8462,-106.3248,,,307-232-0124,,,,,,,,,,,,,,,,,,Casper,,,,,
83,Casper Childrens Theatre,,Belonging & Connection: Arts,"Provides acting lessons and students participate in stage performances. Kinderdance: ages 4-7, First Act: ages 8-10, Main Stage: ages 11-18. Scholarships available.",,,,,Scholarship Available,https://thecasperschildrenstheatre.com/,,"949 N Durbin St, Casper, WY 82601",,42.8567,-106.3222,,,307-215-8922,,,,,,,,,Casper Childrens Theatre,,,,,,,,,Casper,,,,,
93,Casper Recreation Center,,Belonging & Connection: Recreational,"Discover Casper&#8217;s premier athletic fields &#8212; from soccer and softball to baseball diamonds and league-ready turf &#8212; perfect for players, leagues, and tournaments of all sizes in the heart of Wyoming!",,,,,Walk-In,https://www.casperwy.gov,webpageupdate_subscribers@revize.com,"1801 E 4th St, Casper, WY 82601","Walking Tours of Casper  
					  FAQs  
					  Places to Stay in Casper!  
				 
			 
			  Hogadon Basin Ski Area",42.8487,-106.3009,,,307-235-8383,,,,,,,Insurance,"English,Spanish",,"ada  
										  Khmer  
										  Korean  
										  Lao  
										  La","Transit  
					  Casper Parking Plan  
					  Request for Proposals  
					  Staff D",,https://www.twitter.com/intent/tweet?url=http://www.casperwy.gov/,https://www.facebook.com/sharer/sharer.php?u=http://www.casperwy.gov/,https://www.youtube.com/channel/UCK-zvDPcmvu0mPRD2LPc6ng,,,Casper,,,,,
108,CWCC (Family Counseling),,Family Life: General,"Central Wyoming Counseling Center’s compassionate clinicians and support staff are dedicated to bringing hope, healing, and recovery to the people we serve.",,,,,,https://cwcc.us/,hosting@thebarkfirm.com,"1430 Wilkins Circle, Casper, WY 82601","APPOINTMENT  
								 
								 
									Telehealth available for most outpatient services",42.8653176,-106.3416615,,,307-237-9583,,,,,,,Insurance,for most outpatient services,Central Wyoming Counseling Center,,,,,https://www.facebook.com/tr?id=260823243714686&ev=PageView&noscript=1,,https://www.instagram.com/centralwyocc/,,Casper,,,,,
111,CWCC (Resiliency),,Resiliency Building: General,"Central Wyoming Counseling Center’s compassionate clinicians and support staff are dedicated to bringing hope, healing, and recovery to the people we serve.",,,,,,https://cwcc.us/,hosting@thebarkfirm.com,"1430 Wilkins Circle, Casper, WY 82601","APPOINTMENT  
								 
								 
									Telehealth available for most outpatient services",42.8653176,-106.3416615,,,307-237-9583,,,,,,,Insurance,for most outpatient services,Central Wyoming Counseling Center,,,,,https://www.facebook.com/tr?id=260823243714686&ev=PageView&noscript=1,,https://www.instagram.com/centralwyocc/,,Casper,,,,,
112,Cyberbullying.org,,Technology: Digital Safety,"Cyberbullying presents a dangerous threat in today&#039;s digital world to youth and adults alike. Access up-to-date resources and research on cyberbullying for parents, educators, students, non-profits, and tech companies. Read victim stories, learn about cyberbullying laws, and download relevant tips and strategies.",,,,,,https://cyberbullying.org,,"Casper, WY",,42.8666,-106.3131,,,6666666667,,,,,,,Free . Insurance,"English,Spanish",,"Adam Diaz, Lower and Middle School Counselor  Landon School    Dr Hinduja's present",,https://cyberbullying.org/blog,https://x.com/onlinebullying,http://www.facebook.com/cyberbullyingresearch,http://www.youtube.com/cyberbullyresearch,https://instagram.com/wordswound/,,Casper,,,,,
113,CY Middle School Activities,,Belonging & Connection: School Clubs,Activities and athletics available to students at CY Middle School.,,,,,,,,"2900 Cyclone Drive, Casper, WY 82604",,42.8348,-106.3533,,,307-253-2683,,,,,,,,,,,,,,,,,,Casper,,,,,
115,Dean Morgan Middle School Activities,,Belonging & Connection: School Clubs,Activities and athletics available to students at Dean Morgan.,,,,,,https://deanmorgan.org/activities/,,"1440 S Elm Street, Casper, WY 82601",,42.8378,-106.3193,,,307-253-2500,,,,,,,,,,,,,,,,,,Casper,,,,,
